X,Y,SITE_NO,ROAD_NAME,LOCATION_DESC,TRAFFIC_YEAR,MON_SUN,MON_FRI,SAT_SUN,PCT_HEAVY_MON_SUN,PCT_HEAVY_MON_FRI,PCT_HEAVY_SAT_SUN,NETWORK_PERFORMANCE_SITE,LG_NO,LG_NAME,RA_NO,RA_NAME,OBJECTID,GlobalID
121.44235,-30.7732799999999,16193,Great Eastern Hwy,East of Atbara St,2024/25,9506,11253,5430,19.4,19.9,18,No,605,Kalgoorlie - Boulder (C),5,Goldfields - Esperance,7317276,{6DDF1C57-E74E-49A6-952C-413CC68CB1E8}
121.461867,-30.747036,19153,Piccadilly St,West of Chapple St,2024/25,5420,5639,4668,10,10.8,8.2,No,605,Kalgoorlie - Boulder (C),5,Goldfields - Esperance,7317525,{0397BAD8-2F5E-4B38-8FBD-1B2B6F762C81}
121.591752,-31.025368,50791,Goldfields Hwy,North of Kambalda,2025/26,2086,2285,1588,24.3,24.6,23.2,Yes,605,Kalgoorlie - Boulder (C),5,Goldfields - Esperance,7317717,{FDB66DFB-B7F1-4214-90B3-2261F4E9D339}
120.569404,-27.987209,52122,Mount Magnet Leinster Rd,West of Goldfields Hwy,2025/26,255,271,212,54.5,53.5,57.5,Yes,608,Leonora,5,Goldfields - Esperance,7316609,{8E7957B0-49BB-4173-B251-EBF79519F4A9}
121.825654,-33.809962,53787,South Coast Hwy,West of Coolgardie Esperance Hwy,2025/26,1436,1522,1223,34.2,36.3,27.6,Yes,604,Esperance,5,Goldfields - Esperance,7316310,{EDC62497-B33F-4A21-8B13-0CB8CADBF241}
121.892174,-33.833593,53825,Hill St,South of Harbour,2022/23,1001,1286,412,25.7,26.4,20.6,No,604,Esperance,5,Goldfields - Esperance,7316335,{ECA8C229-B759-4EC8-9BB3-010E6F615F9B}
117.087857,-33.8426239999999,15351,Boyup Brook Kojonup Rd,West of Kojonup Frankland Rd,2024/25,572,614,453,35,34.9,34.4,No,310,Kojonup,1,Great Southern,7317161,{51DDD2C8-5329-4B1F-88F5-C4613501203E}
117.529553,-35.021216,15385,Lower Denmark Rd,South of South Western Hwy,2020/21,943,992,808,5.9,7.1,3.5,No,302,Albany (C),1,Great Southern,7317171,{D38DA031-4938-4BD1-A3EC-2F4FB704F11D}
117.956358,-34.687492,15438,Chester Pass Rd,North of Porongorup Rd,2024/25,824,836,770,37.3,38.3,34.9,No,312,Plantagenet,1,Great Southern,7317183,{93A74D31-946A-405A-AE2E-A84EA737EAAF}
117.660064,-33.883705,15483,Great Southern Hwy,North of Broomehill Gnowangerup Rd,2024/25,1022,1072,886,33.4,37,24.9,No,303,Broomehill - Tambellup,1,Great Southern,7317193,{ED60B03A-649D-47BE-9B9A-7DF31B0643CA}
118.387053,-33.5930129999999,15561,Nyabing Pingrup Rd,East of Chester Pass Rd,2020/21,174,183,149,23.6,25.1,20.8,No,309,Kent,1,Great Southern,7317213,{93BAA190-06A3-46AE-B421-318D5B825666}
118.31713,-33.967508,15760,Chester Pass Rd,North of Gnowangerup Jerramungup Rd,2024/25,168,165,168,51.2,53.9,45.2,No,307,Gnowangerup,1,Great Southern,7317229,{571228B2-B711-4C43-A753-52758C0C480F}
118.027959,-34.547317,16557,Chillinup Rd,East of Chester Pass Rd,2020/21,116,132,78,22.4,27.3,9,No,312,Plantagenet,1,Great Southern,7317310,{AF5172C8-BCFB-4B8C-BACD-65FCB961DC58}
117.906787,-34.9365569999999,19180,Chester Pass Rd,North of Millbrook Rd,2024/25,3405,3634,2802,27.9,29.7,23.6,No,302,Albany (C),1,Great Southern,7317536,{92732FA6-0376-460A-9B2A-AB56C289FD2D}
117.08276,-33.5547999999999,19390,Albany Hwy,South of Robinson Rd West,2025/26,2084,2054,2161,19.3,22.4,12.2,Yes,317,Woodanilling,1,Great Southern,7317570,{E5BCFD4D-588E-473E-B8E0-7C40AD4F9CFE}
117.889367,-35.0301499999999,19543,Princess Royal Dr,West of Bolt Tce,2022/23,2887,2872,2754,17.4,21.3,9.8,No,302,Albany (C),1,Great Southern,7317606,{BA22CF40-9C63-42E7-B738-072849F6F56B}
120.075583,-33.570012,51057,South Coast Hwy,East of Ravensthorpe,2025/26,877,915,780,31.8,34,25.6,Yes,610,Ravensthorpe,1,Great Southern,7317785,{D6F0153F-2508-444E-AC18-332B9F1C6941}
118.17458,-34.8374499999999,51581,South Coast Hwy,North of Taylor St,2023/24,958,979,893,20.3,23.1,13.5,No,302,Albany (C),1,Great Southern,7317852,{121746EA-86B8-4991-8448-FA864443CF63}
120.068194,-33.582959,52327,Hopetoun Ravensthorpe Rd,South of Old Ravensthorpe Rd,2024/25,399,392,406,23.6,25.5,19.7,No,610,Ravensthorpe,1,Great Southern,7316648,{0EB1F398-557C-4B1D-8F61-4149BCC140DF}
117.362637,-34.895394,52908,Churchill Rd,West of Denmark Mt Barker Rd,2024/25,120,124,108,18.3,21,13,No,305,Denmark,1,Great Southern,7316739,{67EB3F9C-B176-41B2-B780-05740C46B4A9}
117.709186,-34.771699,53492,Albany Hwy,South of Hannan Way,2023/24,4365,4717,3510,18.1,20.6,11.3,No,312,Plantagenet,1,Great Southern,7316150,{29CB6C99-2849-4210-99A8-460B23BA0F8E}
117.828998,-35.0152419999999,53995,Menang Dr,West of Roundhay St,2025/26,1842,2021,1395,33,35.9,22.5,Yes,302,Albany (C),1,Great Southern,7316441,{0D7D6FE4-ED74-45B3-BBCF-0451DBF1D007}
123.641945,-17.307677,50611,Stanley St,East of Field St,2024/25,339,391,220,10.6,11.3,7.7,No,003,Derby - West Kimberley,6,Kimberley,7317678,{71C4FE3C-A69B-4609-A2FE-8CEB195FF985}
123.679318,-17.346419,52427,Gibb River Rd,West of Adcock St,2024/25,759,840,571,23.8,25.1,19.8,No,003,Derby - West Kimberley,6,Kimberley,7316679,{CAE412BB-1915-474D-B5CF-D0001D0A5DD8}
128.295869,-15.843854,53854,Gibb River Wyndham Rd,West of Great Northern Hwy,2025/26,130,127,137,25.4,26.8,21.9,Yes,004,Wyndham - East Kimberley,6,Kimberley,7316358,{98291040-D19C-41D0-AF05-8F3BAAEF5E17}
115.854058,-31.928175,0028,Angove St,East of Charles St,2023/24,7266,7498,6540,2.9,3.5,1.6,No,130,Vincent (C),7,Metropolitan,7317950,{A538E700-F50A-4942-A928-B839BC6C46EB}
115.834647,-32.0198369999999,0091,Canning Hwy,East of Riseley St,2024/25,39681,41080,35990,7,7.8,5,No,119,Melville (C),7,Metropolitan,7317963,{B14F3B71-A891-4EA0-8F33-87C95806D700}
115.754324,-32.039778,0158,Queen Victoria St,At Fremantle Traffic Bridge,2022/23,22125,23056,19798,5.7,6.4,3.7,Yes,118,Fremantle (C),7,Metropolitan,7317983,{9E147CE7-21E1-4A62-B8D4-87B2EFFD7763}
115.901904,-31.921732,0249,Railway Pde (Mt Lawley Bassendean),East of Grand Prom,2021/22,10574,11307,8599,5.1,5.7,3.4,No,112,Bayswater (C),7,Metropolitan,7318001,{BC3A70E7-BD6F-4CD7-A319-26B7DAB7FA90}
115.906675,-31.982086,0332,Mint St,East of Shepperton Rd,2024/25,10833,11036,9876,7.6,8.8,5.4,No,129,Victoria Park (T),7,Metropolitan,7318016,{AAE9F587-3848-4EC0-B7DC-47E32E827156}
115.784573,-32.0359549999999,0416,Point Walter Rd,North of Canning Hwy,2024/25,1944,1932,1885,6.3,6.8,5.4,No,119,Melville (C),7,Metropolitan,7318033,{4560D29D-1F7C-4FB2-AECB-55E602DA8124}
115.778654,-32.063281,0492,South St,West of Carrington St,2024/25,19722,19748,20456,8.4,9,6.5,No,118,Fremantle (C),7,Metropolitan,7318709,{C95A1D0D-8508-4A61-B6BD-140F3163B3B1}
115.757927,-31.9269229999999,0524,The Boulevard,East of West Coast Hwy,2024/25,8090,8496,7034,4.7,5.2,3.3,No,128,Cambridge (T),7,Metropolitan,7318719,{F1FFC66F-AAC1-4834-A94D-F03C87479839}
115.817949,-31.975049,0613,Winthrop Av,North of Mounts Bay Rd,2024/25,22351,24303,17406,3.6,4,2.3,No,124,Perth (C),7,Metropolitan,7318732,{8B254FF6-D1EE-417C-859B-B4202CBECDB2}
115.751737,-32.0274269999999,0655,Curtin Av,South of Marine Pde,2023/24,17306,17579,16626,6.3,7.1,4.2,Yes,118,Fremantle (C),7,Metropolitan,7318746,{BF0858C5-2EF7-4795-A936-1F8D075E0AF2}
115.804143,-31.93893,0716,Selby St,North of The Boulevard,2024/25,17732,18124,15930,4.8,5.5,3.7,No,128,Cambridge (T),7,Metropolitan,7318759,{195E4DE4-BC0C-40A9-93ED-939B59DD21CA}
115.792756,-32.068328,0749,Stock Rd,South of South St,2021/22,25260,27520,18485,9,10.8,5.8,No,118,Fremantle (C),7,Metropolitan,7318770,{8409DB37-EF84-454B-9AE1-A188A8DDD0B2}
115.782398,-32.249513,1021,Mandurah Rd,South of Wellard Rd,2023/24,10711,13796,5202,11.3,11.9,8.6,No,107,Rockingham (C),7,Metropolitan,7318789,{A6F87B05-1C60-4D22-84F1-433C4AAFE210}
115.924824,-31.873367,1124,Beechboro Rd North,North of Benara Rd,2020/21,16978,17650,16194,3.7,4.1,2.2,No,112,Bayswater (C),7,Metropolitan,7318806,{896F8C7E-8557-43E5-A8ED-39B467DAD382}
115.862394,-31.987389,1203,Coode St,North of South Tce,2023/24,5068,5398,4233,2.9,3.5,1.5,No,126,South Perth (C),7,Metropolitan,7318820,{5410F3A6-05DE-43B4-B2E3-652017E03B89}
115.785268,-31.897885,1313,Scarborough Beach Rd,West of Huntriss Rd,2025/26,23763,23582,22425,7.2,8.3,5.4,No,125,Stirling (C),7,Metropolitan,7318835,{D3201C33-4C60-40CD-A3CE-A91379D5D95A}
115.978408,-32.004691,1445,Welshpool Rd East,East of Roe Hwy,2024/25,33762,38388,24469,12.3,16.5,5.1,No,102,Kalamunda,7,Metropolitan,7318850,{85E8EA0C-F992-4A1B-AED3-9E2EB9A61C8B}
115.804112,-31.9048109999999,1599,Selby St North,South of Scarborough Beach Rd,2024/25,6326,7881,3840,20.1,19.9,20.6,No,125,Stirling (C),7,Metropolitan,7318860,{CD614776-DA92-4D96-B9A4-D507D27A66BB}
115.767731,-31.9907239999999,1870,Stirling Hwy,South of Eric St,2025/26,34192,34519,32107,6.1,6.9,4.7,No,116,Cottesloe (T),7,Metropolitan,7318875,{E127D4B0-1C09-49C4-BD19-95E79173D84F}
115.83546,-31.8658,2078,Princess Rd (Westminster Balga),North of Arkana Rd,2025/26,6487,7156,5016,8.4,8.1,9.2,No,125,Stirling (C),7,Metropolitan,7318891,{0A9D624E-1C4C-4FDD-A218-4F901C0D819C}
115.75947,-31.739248,2206,Shenton Av,East of Mitchell Fwy,2024/25,31157,32460,28371,3.7,4,2.5,No,131,Joondalup (C),7,Metropolitan,7318903,{D3CBCAEE-DB5D-4EC6-9B3C-A4F58FB38C56}
115.918197,-31.904444,2354,Collier Rd,East of Beechboro Rd South,2020/21,21912,23290,17798,8.9,10.8,4.7,No,112,Bayswater (C),7,Metropolitan,7318918,{0F84E4C6-F3EB-43C4-8BD3-B9495BAE4AB2}
115.872503,-32.0430309999999,2470,Karel Av,South of Leach Hwy,2023/24,19386,19886,17979,3.4,3.9,2.2,No,114,Canning (C),7,Metropolitan,7318930,{677506EE-464D-4C2E-80A5-CED89574B401}
115.865069,-31.9468419999999,2600,Parry St,East of Beaufort St,2023/24,2989,2945,2962,2.5,2.9,1.9,No,130,Vincent (C),7,Metropolitan,7318943,{B9FDE721-31AD-4F46-8F37-E5B1247CE3B0}
115.83971,-31.9134999999999,2691,Banksia St,North of Green St,2025/26,1698,1868,1341,7.1,8.1,5.4,No,125,Stirling (C),7,Metropolitan,7318957,{1F69C687-0C1F-46D9-9119-7C78528C58A8}
115.851113,-31.944294,2823,Charles St on to Mitchell Fwy (Southbound),South of Newcastle St,2021/22,19950,20163,18438,5.5,6.6,3.1,No,124,Perth (C),7,Metropolitan,7318970,{088D83E0-4BF7-482C-BC7B-1564F2605CBF}
116.105506,-31.9028529999999,2965,Great Eastern Hwy,East of Hardey Rd (Hovea),2021/22,29783,30754,25814,14.3,15.9,11.6,No,106,Mundaring,7,Metropolitan,7318041,{CA4D72D9-9D41-4ACA-A4A6-B200E559F544}
115.888505,-31.997987,3217,Hayman Rd,East of Kent St,2023/24,8542,9568,5890,7.8,8.2,5.6,No,129,Victoria Park (T),7,Metropolitan,7318064,{813E4203-5441-44DF-AC3C-8CE7D146A2C2}
115.79645,-32.1040599999999,3274,Stock Rd,South of Spearwood Av,2020/21,19401,22616,12106,12,13.3,9,No,103,Cockburn (C),7,Metropolitan,7318078,{23A69045-9727-4BCE-ABE2-37FB0987B211}
115.918023,-31.972458,3400,Archer St,West of Orrong Rd,2021/22,12041,12436,10629,7.6,8.7,5.1,No,129,Victoria Park (T),7,Metropolitan,7318093,{2112D797-4F60-481C-880B-46AA6F0CF3EF}
115.777996,-31.7168609999999,3512,Joondalup Dr,West of Wanneroo Rd,2024/25,44223,44263,38831,3.6,4.4,2.9,No,110,Wanneroo (C),7,Metropolitan,7318105,{3A26A3E9-0E21-4F1A-A547-0568B9890432}
115.789037,-32.074735,3650,Winterfold Rd,West of Stock Rd,2024/25,14631,15153,13234,6.9,7.9,4.2,No,103,Cockburn (C),7,Metropolitan,7318121,{75FD042F-F606-474C-B014-C20BA195D33B}
115.864008,-31.940461,3723,William St,North of Bulwer St,2025/26,14221,14714,13644,5.1,5.5,3.2,No,130,Vincent (C),7,Metropolitan,7318612,{EED64C17-1EB0-48C9-8951-5C95848925E8}
115.803397,-31.930923,3849,Flynn St,West of Selby St,2020/21,17782,19133,14496,4.7,5.5,3.1,No,125,Stirling (C),7,Metropolitan,7318630,{CC6D7F2E-EC35-4FD6-A693-0345ABC10A4B}
115.827819,-32.293417,3929,Baldivis Rd,South of Mundijong Rd,2020/21,10363,10934,8773,7.6,8.9,4.6,No,107,Rockingham (C),7,Metropolitan,7318644,{13FEC3BA-6CED-427B-A57A-AD407A03CB59}
115.761149,-31.847033,4047,Beach Rd,West of Marmion Av,2024/25,7816,7695,7791,2.5,3,1.5,No,131,Joondalup (C),7,Metropolitan,7318665,{5EFFD1FF-7EDC-4972-A009-61C42A86E632}
115.816068,-31.833863,4083,Warwick Rd,East of Erindale Rd,2024/25,22088,22632,19370,5.3,6.5,3.6,No,131,Joondalup (C),7,Metropolitan,7318676,{807D8F59-B61B-4162-9318-928800DDE15A}
115.870086,-32.0661269999999,4146,South St,West of Karel Av,2025/26,39331,41523,33261,8.7,10.5,5.2,No,119,Melville (C),7,Metropolitan,7318689,{AA6EF004-0C2E-41AF-B034-465D5A0989FD}
115.792592,-31.9690199999999,4228,Alfred Rd,East of Brockway Rd,2024/25,6088,6463,5076,4.5,5.2,2.4,No,122,Nedlands (C),7,Metropolitan,7318134,{3F5335BD-022F-4DE6-8591-BC1E3769015E}
115.832235,-31.888968,4341,Morley Dr,East of Main St,2025/26,23615,24455,20397,5.8,6.3,5.1,No,125,Stirling (C),7,Metropolitan,7318150,{409D118D-935A-4FDD-99E8-A4E6C3790A21}
115.854618,-31.942537,4391,Fitzgerald St,North of Newcastle St,2021/22,18795,19432,16557,7.8,9.2,4.8,No,130,Vincent (C),7,Metropolitan,7318162,{CE937175-A041-4392-BEB4-383935230842}
115.986641,-32.431906,4444,South Western Hwy,North of Keysbrook,2025/26,3398,3403,3394,16.7,23,10.5,Yes,108,Serpentine - Jarrahdale,7,Metropolitan,7318172,{694FAC85-D4C9-401D-B5F7-2897C54FCB63}
115.967752,-31.8993389999999,4487,James St,West of Johnson St,2021/22,25760,27618,20858,7.6,8.6,5.1,No,109,Swan (C),7,Metropolitan,7318182,{0E1D1AA1-44C0-4B57-BCFC-D304187678C0}
115.832519,-32.021271,4542,Canning Hwy,West of Riseley St,2025/26,36496,37465,32502,7.4,8.5,5.4,No,119,Melville (C),7,Metropolitan,7318196,{C13B5A8D-B2E5-4BEF-A9FE-7D27D6D53A97}
115.780078,-32.047025,4621,Marmion St,East of Carrington St,2024/25,10359,10076,11077,7.3,7.9,5.8,No,119,Melville (C),7,Metropolitan,7318206,{5D310E72-BE3B-4D66-A8B9-B1B3531CA350}
115.798978,-32.0618219999999,4646,Ladner St,North of South St,2023/24,3502,4089,2176,18.8,21.6,10.8,No,118,Fremantle (C),7,Metropolitan,7318217,{5CD0B56A-3DE1-4427-9A09-4E638851CC6F}
115.843263,-32.048313,4678,Murdoch Dr,South of Leach Hwy,2023/24,16768,17793,14143,5.7,6.3,3.7,No,119,Melville (C),7,Metropolitan,7318232,{BCB01D29-081B-46C8-98B3-6D8F59A4F4F8}
115.890017,-32.030223,4717,Leach Hwy,West of Vahland Av,2021/22,35360,39985,26037,4.5,6.8,2.1,No,114,Canning (C),7,Metropolitan,7318244,{A88C2E84-4265-40F8-9F5E-22DB1D0EB0AD}
116.016176,-32.185059,4829,South Western Hwy,North of Eleventh Rd,2021/22,15888,16668,13148,10.2,11.7,7.5,No,101,Armadale (C),7,Metropolitan,7318266,{3341D4A0-1A3F-4E98-82E2-BC423D367B2F}
115.964447,-31.975816,4908,Kewdale Rd,South of Tonkin Hwy,2020/21,9280,15364,3446,32.7,35.6,23.8,No,113,Belmont (C),7,Metropolitan,7318286,{2B444AF4-F245-418C-A8D3-340E391A9B4E}
